PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
0,1,1,0,0,4,2,7481131,7481131,6,1,0,0
0,1,1,0,0,4,3,7481131,7481131,6,1,0,0
0,1,1,0,0,4,5,7481131,7481131,6,1,0,0
0,1,1,0,0,4,9,7481131,7481131,6,1,0,0
0,1,1,0,0,4,11,7481131,7481131,6,1,0,0
0,1,1,0,0,4,12,7481131,7481131,6,1,0,0
0,1,1,0,0,4,13,7481131,7481131,6,1,0,0
0,1,1,0,0,4,14,7481131,7481131,6,1,0,0
0,1,1,0,0,4,15,7481131,7481131,6,1,0,0
40,0,0,1,0,2,6,7591974,7591974,6,1,0,0
40,0,0,1,0,2,7,7597382,7597382,0,1,0,0
40,0,0,1,0,2,8,7597397,7597397,0,1,0,0
40,0,0,1,0,2,6,7591974,7591974,6,1,0,0
40,0,0,1,0,2,7,7604711,7604711,0,1,0,0
